Z,N,A,dataset_split,participates_in_loss,train_uncertainty,pred_residual,pred_binding_energy,actual_binding_energy,theory_binding_energy,actual_residual,pred_minus_actual_residual
12,13,25,train,True,4.75e-05,-0.41176266349852086,205.70686764396726,205.5875701904297,205.29510498046875,-0.2924700081348419,-0.11929265536367895
13,12,25,train,True,6.5e-05,-0.3281767864897847,200.5606749554351,200.52841186523438,200.2324981689453,-0.29591500759124756,-0.03226177889853715
14,11,25,train,True,0.01,-0.1722194790560752,187.30222436186858,187.00277709960938,187.1300048828125,0.12722750008106232,-0.2994469791371375
8,18,26,train,False,0.1649492,0.7033113364875316,167.8031889076531,168.9344482421875,168.50650024414062,-0.4279539883136749,1.1312653248012066
9,17,26,train,False,0.1070264,0.9333543032407761,183.85454852879047,184.13848876953125,184.78790283203125,0.6494078040122986,0.2839464992284775
10,16,26,train,True,0.0184288,1.0829307401180268,201.59596330285072,201.5496826171875,202.67889404296875,1.1292140483856201,-0.046283308267593304
11,15,26,train,True,0.0035022,0.21550212640315294,208.12089313726872,208.10923767089844,208.33639526367188,0.22716620564460754,-0.0116640792414546
12,14,26,train,True,2.86e-05,0.14594578101299704,216.69925380394795,216.68064880371094,216.84519958496094,0.16455140709877014,-0.018605626085773097
13,13,26,train,True,6.76e-05,0.3336031155940145,212.17349222132006,211.89389038085938,212.50709533691406,0.6132022142410278,-0.2795990986470133
14,12,26,train,True,0.0001066,0.1662644207640551,205.98163902161875,206.04241943359375,206.1479034423828,0.10548420250415802,0.06078021825989707
9,18,27,train,False,0.1201986,0.7871103298664093,185.81509303927422,185.75099182128906,186.60220336914062,0.8512126207351685,-0.06410229086875918
10,17,27,train,True,0.0907713,1.089292841553688,202.90390173852444,203.05120849609375,203.99319458007812,0.9419922828674316,0.14730055868625636
11,16,27,train,True,0.003726,0.8663596966862679,214.92734147518874,214.83755493164062,215.793701171875,0.956139087677002,-0.08977939099073406
12,15,27,train,True,4.86e-05,0.008688903846777975,222.88530828853604,223.1240234375,222.8939971923828,-0.2300174981355667,0.2387064019823447
13,14,27,train,True,4.86e-05,-0.22975520349107684,225.14516047692857,224.95193481445312,224.9154052734375,-0.03653910011053085,-0.19321610338054598
14,13,27,train,True,0.000108,-0.1717197148408741,219.69491307421586,219.35723876953125,219.523193359375,0.1659660041332245,-0.3376857189740986
15,12,27,train,True,0.0090018,-0.164690116699785,206.3809834516607,206.8494110107422,206.21629333496094,-0.6331138014793396,0.4684236847795546
9,19,28,train,False,0.1203468,-0.11070763123687356,186.1823018695181,185.55198669433594,186.07159423828125,0.5196123719215393,-0.6303200031584129
10,18,28,train,False,0.1260672,1.0162585261464119,206.7274395939708,206.8737030029297,207.7436981201172,0.8700035810470581,0.14625494509935377
11,17,28,train,True,0.0102452,0.587133516073227,218.25956143021583,218.37940979003906,218.84669494628906,0.4672968089580536,0.11983670711517336
12,16,28,train,True,0.0002604,0.423290868550539,231.53381667539477,231.62869262695312,231.9571075439453,0.328413188457489,0.09487768009304998
13,15,28,train,True,5.04e-05,-0.15870589935686438,232.65330428802875,232.67710876464844,232.49459838867188,-0.18251320719718933,0.02380730784032495
14,14,28,train,True,5.6e-06,-0.15666370416525752,236.46525745416525,236.53684997558594,236.30859375,-0.22824600338935852,0.071582299224101
15,13,28,train,True,0.001148,-0.2205028073489666,221.39990039035678,221.40956115722656,221.1793975830078,-0.23015759885311127,0.009654791504144666
16,12,28,train,False,0.1600004,-0.2012068324489519,209.23880448869895,209.40614318847656,209.03759765625,-0.3685508072376251,0.16734397478867322
