Nuclide,Element,Z,N,A,BE_exp_MeV,sigma_exp_MeV,sigma_exp_keV
32Cl,Cl,17,15,32,258.3169856,0.0005632,0.5632
33Cl,Cl,17,16,33,274.0569381,0.0003894,0.3894
34Cl,Cl,17,17,34,285.5650004,4.76e-05,0.0476
35Cl,Cl,17,18,35,298.209765,3.5e-05,0.035
36Cl,Cl,17,19,36,306.7895592,3.6e-05,0.036
37Cl,Cl,17,20,37,317.1004192,5.18e-05,0.0518
38Cl,Cl,17,21,38,323.2083046,9.88e-05,0.0988
39Cl,Cl,17,22,39,331.2817248,0.0017316,1.7316
40Cl,Cl,17,23,40,337.11064,0.032064,32.064
41Cl,Cl,17,24,41,344.9313313,0.0687242,68.7242
42Cl,Cl,17,25,42,350.5272288,0.0596148,59.6148
43Cl,Cl,17,26,43,357.9262896,0.0618598,61.8598
44Cl,Cl,17,27,44,362.3170672,0.0855668,85.5668
45Cl,Cl,17,28,45,368.1719595,0.1361655,136.1655
46Cl,Cl,17,29,46,371.7156822,0.0972486,97.24860000000001
32Ar,Ar,18,14,32,246.4002848,0.0017696,1.7696
33Ar,Ar,18,15,33,261.6555447,0.0003993,0.3993
34Ar,Ar,18,16,34,278.7208616,7.82e-05,0.0782
35Ar,Ar,18,17,35,291.4611735,0.000679,0.679
36Ar,Ar,18,18,36,306.7167456,2.88e-05,0.0288
37Ar,Ar,18,19,37,315.5042022,0.0002072,0.2072
38Ar,Ar,18,20,38,327.3426666,0.0001938,0.1938
39Ar,Ar,18,21,39,333.9413532,0.0049998,4.9998
40Ar,Ar,18,22,40,343.810376,8e-06,0.008
41Ar,Ar,18,23,41,349.9093053,0.0003485,0.3485
42Ar,Ar,18,24,42,359.3357922,0.005775,5.774999999999999
43Ar,Ar,18,25,43,364.9942426,0.0053105,5.3105
44Ar,Ar,18,26,44,373.7290084,0.001584,1.584
45Ar,Ar,18,27,45,378.897867,0.000513,0.513
46Ar,Ar,18,28,46,386.969641,0.0023276,2.3276
47Ar,Ar,18,29,47,390.636975,0.0012126,1.2126
48Ar,Ar,18,30,48,395.6959488,0.0167664,16.7664
35K,K,19,16,35,278.8044315,0.000511,0.5109999999999999
36K,K,19,17,36,293.1200388,0.000324,0.324
37K,K,19,18,37,308.574376,9.25e-05,0.0925
38K,K,19,19,38,320.6462534,0.0001938,0.1938
39K,K,19,20,39,333.7240062,1.17e-05,0.0117
40K,K,19,21,40,341.523628,5.6e-05,0.056
41K,K,19,22,41,351.6189971,1.23e-05,0.0123
42K,K,19,23,42,359.1527982,0.000105,0.105
43K,K,19,24,43,368.7774772,0.0004085,0.4085
44K,K,19,25,44,376.0549012,0.000418,0.418
45K,K,19,26,45,384.9603615,0.000522,0.522
46K,K,19,27,46,391.8299688,0.0007268,0.7268
47K,K,19,28,47,400.1993365,0.0013959,1.3959
48K,K,19,29,48,404.8431552,0.0007728,0.7728
49K,K,19,30,49,410.2414897,0.0008036,0.8036
50K,K,19,31,50,414.429165,0.00773,7.73
51K,K,19,32,51,419.288085,0.0130407,13.0407
52K,K,19,33,52,421.9815756,0.0335348,33.5348
53K,K,19,34,53,425.2109864,0.111777,111.777
36Ca,Ca,20,16,36,281.3716764,0.0399996,39.9996
37Ca,Ca,20,17,37,296.1278979,0.0006327,0.6327
38Ca,Ca,20,18,38,313.1216492,0.0001938,0.1938
39Ca,Ca,20,19,39,326.4171729,0.0005967,0.5967
40Ca,Ca,20,20,40,342.052184,2.4e-05,0.024
41Ca,Ca,20,21,41,350.4150075,0.0001394,0.1394
42Ca,Ca,20,22,42,361.8957132,0.000147,0.147
43Ca,Ca,20,23,43,369.8286079,0.0002279,0.2279
44Ca,Ca,20,24,44,380.9597836,0.0003256,0.3256
45Ca,Ca,20,25,45,388.3746015,0.0003645,0.3645
46Ca,Ca,20,26,46,398.7733008,0.0022356,2.2356
47Ca,Ca,20,27,47,406.0496756,0.0022231,2.2231
48Ca,Ca,20,28,48,416.0011968,1.92e-05,0.0192
49Ca,Ca,20,29,49,421.14765,0.0001764,0.1764
50Ca,Ca,20,30,50,427.508195,0.001585,1.585
51Ca,Ca,20,31,51,432.3225885,0.0005202,0.5202
52Ca,Ca,20,32,52,438.3278692,0.0006708,0.6708000000000001
53Ca,Ca,20,33,53,441.5206234,0.043778,43.778
54Ca,Ca,20,34,54,445.3648218,0.048438,48.438
55Ca,Ca,20,35,55,446.92593,0.160215,160.215
56Ca,Ca,20,36,56,449.8572624,0.2496424,249.6424
39Sc,Sc,21,18,39,312.5248425,0.0240006,24.0006
40Sc,Sc,21,19,40,326.946788,0.002828,2.828
41Sc,Sc,21,20,41,343.1371139,7.79e-05,0.0779
42Sc,Sc,21,21,42,354.6870726,0.0001554,0.1554
43Sc,Sc,21,22,43,366.8255395,0.0018619,1.8619
44Sc,Sc,21,23,44,376.524742,0.0017556,1.7556
45Sc,Sc,21,24,45,387.852345,0.0006615,0.6615
46Sc,Sc,21,25,46,396.612989,0.0006716,0.6716
47Sc,Sc,21,26,47,407.2595026,0.0019317,1.9317
48Sc,Sc,21,27,48,415.4980656,0.0049488,4.948799999999999
49Sc,Sc,21,28,49,425.6277445,0.0022687,2.2687
50Sc,Sc,21,29,50,431.673735,0.002515,2.515
51Sc,Sc,21,30,51,438.4582863,0.0025143,2.5143
52Sc,Sc,21,31,52,443.802814,0.0030732,3.0732
53Sc,Sc,21,32,53,450.1201225,0.0176967,17.6967
54Sc,Sc,21,33,54,453.859821,0.0139752,13.9752
