Nuclide,Element,Z,N,A,BE_exp_MeV,sigma_exp_MeV,sigma_exp_keV
111Cd,Cd,48,63,111,947.6158911,0.0003552,0.3552
112Cd,Cd,48,64,112,957.0098272,0.0002464,0.2464
113Cd,Cd,48,65,113,963.5495762,0.0002486,0.2486
114Cd,Cd,48,66,114,972.592539,0.0002736,0.2736
115Cd,Cd,48,67,115,978.733398,0.0006555,0.6555000000000001
116Cd,Cd,48,68,116,987.4327276,0.0001624,0.1624
117Cd,Cd,48,69,117,993.209958,0.0010179,1.0179
118Cd,Cd,48,70,118,1001.56453,0.020001,20.001
119Cd,Cd,48,71,119,1006.9111339,0.0376992,37.6992
120Cd,Cd,48,72,120,1014.96288,0.003732,3.732
121Cd,Cd,48,73,121,1020.1506612,0.0019481,1.9481
122Cd,Cd,48,74,122,1027.7605374,0.0022936,2.2936
123Cd,Cd,48,75,123,1032.6336465,0.0026937,2.6937
124Cd,Cd,48,76,124,1039.9902196,0.002604,2.604
125Cd,Cd,48,77,125,1044.7101875,0.0028875,2.8875
126Cd,Cd,48,78,126,1051.6891518,0.0023058,2.3058
127Cd,Cd,48,79,127,1056.2459317,0.0061976,6.1976
128Cd,Cd,48,80,128,1062.8142976,0.0064384,6.438400000000001
129Cd,Cd,48,81,129,1066.7695119,0.0053148,5.3148
130Cd,Cd,48,82,130,1072.836284,0.02236,22.36
131Cd,Cd,48,83,131,1075.0017724,0.0192439,19.2439
132Cd,Cd,48,84,132,1078.3267572,0.0600732,60.0732
100In,In,49,51,100,832.97495,0.00224,2.24
101In,In,49,52,101,845.413026,0.0116655,11.6655
102In,In,49,53,102,855.6343338,0.0045696,4.5696
103In,In,49,54,103,867.6431497,0.0089816,8.981599999999998
104In,In,49,55,104,877.264752,0.005772,5.772
105In,In,49,56,105,888.7939725,0.010248,10.248
106In,In,49,57,106,897.8328578,0.0122218,12.2218
107In,In,49,58,107,908.8626973,0.0096514,9.651399999999999
108In,In,49,59,108,917.4871728,0.00864,8.64
109In,In,49,60,109,927.9281943,0.0039676,3.9676
110In,In,49,61,110,935.979957,0.01155,11.55
111In,In,49,62,111,945.9733464,0.0034188,3.4188
112In,In,49,63,112,953.6427488,0.004256,4.256
113In,In,49,64,113,963.0910561,0.0001921,0.1921
114In,In,49,65,114,970.3650588,0.0003078,0.3078
115In,In,49,66,115,979.402928,3.45e-05,0.0345
116In,In,49,67,116,986.1876532,0.0002204,0.2204
117In,In,49,68,117,994.9522401,0.0048789,4.878900000000001
118In,In,49,69,118,1001.308706,0.0077526,7.7526
119In,In,49,70,119,1009.8505053,0.0073066,7.3066
120In,In,49,71,120,1015.9509,0.040008,40.008
121In,In,49,72,121,1024.1290807,0.0274186,27.4186
122In,In,49,73,122,1029.9371638,0.0500566,50.0566
123In,In,49,74,123,1037.8661526,0.0198276,19.8276
124In,In,49,75,124,1043.3762132,0.030566,30.566
125In,In,49,76,125,1050.9920625,0.001775,1.775
126In,In,49,77,126,1056.4604442,0.0041958,4.1958
127In,In,49,78,127,1063.6022924,0.0100076,10.0076
128In,In,49,79,128,1068.9838208,0.0013184,1.3184
129In,In,49,80,129,1075.699911,0.0019737,1.9737
130In,In,49,81,130,1080.84288,0.001794,1.794
131In,In,49,82,131,1087.0320264,0.0022008,2.2008
132In,In,49,83,132,1089.4905384,0.0600336,60.0336
100Sn,Sn,50,50,100,825.1626,0.24001,240.01
101Sn,Sn,50,51,101,836.391403,0.3000003,300.0003
102Sn,Sn,50,52,102,849.0919926,0.1001028,100.1028
104Sn,Sn,50,54,104,871.9267856,0.0057408,5.7408
105Sn,Sn,50,55,105,881.709045,0.003969,3.969
106Sn,Sn,50,56,106,893.7960598,0.005088,5.088
107Sn,Sn,50,57,107,903.0259222,0.0053072,5.3072
108Sn,Sn,50,58,108,914.6549484,0.0053784,5.3784
109Sn,Sn,50,59,109,923.2864947,0.0079461,7.946099999999999
110Sn,Sn,50,60,110,934.569625,0.013772,13.772
111Sn,Sn,50,61,111,942.737541,0.0053391,5.3391
112Sn,Sn,50,62,112,953.5253168,0.0002912,0.2912
113Sn,Sn,50,63,113,961.2697221,0.0015707,1.5707
114Sn,Sn,50,64,114,971.5726494,4.56e-05,0.04559999999999999
115Sn,Sn,50,65,115,979.118073,3.45e-05,0.0345
116Sn,Sn,50,66,116,988.6815256,0.0001044,0.1044
117Sn,Sn,50,67,117,995.624604,0.0004797,0.4797
118Sn,Sn,50,68,118,1004.9510238,0.0004956,0.4956
119Sn,Sn,50,69,119,1011.4344786,0.0007259,0.7259
120Sn,Sn,50,70,120,1020.53856,0.000924,0.924
121Sn,Sn,50,71,121,1026.7087644,0.0009801,0.9801
122Sn,Sn,50,72,122,1035.5234096,0.0024522,2.4522
123Sn,Sn,50,73,123,1041.4694499,0.0024846,2.4846
124Sn,Sn,50,74,124,1049.9575628,0.0013144,1.3144
125Sn,Sn,50,75,125,1055.6910625,0.001325,1.325
126Sn,Sn,50,76,126,1063.8838602,0.0106848,10.6848
127Sn,Sn,50,77,127,1069.4096214,0.0092202,9.2202
128Sn,Sn,50,78,128,1077.3727872,0.0176768,17.6768
129Sn,Sn,50,79,129,1082.6732769,0.0172731,17.2731
130Sn,Sn,50,80,130,1090.28621,0.001872,1.872
131Sn,Sn,50,81,131,1095.4898973,0.0036156,3.6156
132Sn,Sn,50,82,132,1102.8431832,0.00198,1.98
133Sn,Sn,50,83,133,1105.241837,0.0019019,1.9019
134Sn,Sn,50,84,134,1108.8730346,0.0031624,3.1624
135Sn,Sn,50,85,135,1111.1428395,0.003078,3.078
105Sb,Sb,51,54,105,871.6041915,0.0218295,21.8295
106Sb,Sb,51,55,106,882.1333144,0.0074518,7.4518
107Sb,Sb,51,56,107,894.3845808,0.0041516,4.1516
108Sb,Sb,51,57,108,904.2479928,0.0054972,5.497199999999999
109Sb,Sb,51,58,109,916.1249549,0.0052647,5.264699999999999
110Sb,Sb,51,59,110,925.395031,0.005962,5.962000000000001
111Sb,Sb,51,60,111,936.8533533,0.0088467,8.8467
112Sb,Sb,51,61,112,945.686896,0.0178304,17.8304
113Sb,Sb,51,62,113,956.5762106,0.0171873,17.1873
114Sb,Sb,51,63,114,964.7271774,0.0197676,19.7676
115Sb,Sb,51,64,115,975.305294,0.016031,16.031
116Sb,Sb,51,65,116,983.1952128,0.0051504,5.1504
117Sb,Sb,51,66,117,993.0840777,0.0084357,8.4357
118Sb,Sb,51,67,118,1000.5120408,0.0030208,3.0208
119Sb,Sb,51,68,119,1010.0626942,0.0069972,6.9972
120Sb,Sb,51,69,120,1017.0756,0.0072,7.2
121Sb,Sb,51,70,121,1026.3289454,0.0025047,2.5047
122Sb,Sb,51,71,122,1033.1353084,0.002501,2.501
123Sb,Sb,51,72,123,1042.0953108,0.001353,1.353
124Sb,Sb,51,73,124,1048.5628108,0.001364,1.364
125Sb,Sb,51,74,125,1057.27015,0.0025125,2.5125
126Sb,Sb,51,75,126,1063.4795136,0.0318528,31.8528
127Sb,Sb,51,76,127,1071.855997,0.00508,5.08
128Sb,Sb,51,77,128,1077.8588672,0.0187904,18.7904
129Sb,Sb,51,78,129,1085.9297142,0.0212205,21.2205
130Sb,Sb,51,79,130,1091.657333,0.014209,14.209
131Sb,Sb,51,80,131,1099.4243775,0.0020829,2.0829
132Sb,Sb,51,81,132,1105.1495664,0.0024684,2.4684
133Sb,Sb,51,82,133,1112.5091166,0.0031255,3.1255
134Sb,Sb,51,83,134,1115.6759332,0.0030686,3.0686
135Sb,Sb,51,84,135,1119.418569,0.002646,2.646
136Sb,Sb,51,85,136,1122.3064488,0.0058344,5.8344
137Sb,Sb,51,86,137,1125.9312668,0.0521696,52.1696
104Te,Te,52,52,104,848.3618624,0.3176056,317.6056
105Te,Te,52,53,105,859.617864,0.3000165,300.0165
106Te,Te,52,54,106,873.0974292,0.100541,100.541
108Te,Te,52,56,108,896.8019868,0.0054108,5.4108
109Te,Te,52,57,109,906.8070245,0.0043818,4.3818
110Te,Te,52,58,110,919.39276,0.006578,6.577999999999999
111Te,Te,52,59,111,928.8217485,0.0064269,6.4269
112Te,Te,52,60,112,940.8731024,0.0083888,8.3888
113Te,Te,52,61,113,949.7239358,0.0279449,27.9449
114Te,Te,52,62,114,961.337889,0.0244302,24.4302
115Te,Te,52,63,115,969.582296,0.027945,27.945
116Te,Te,52,64,116,980.854646,0.0242092,24.2092
117Te,Te,52,65,117,988.7576751,0.013455,13.455
118Te,Te,52,66,118,999.424246,0.0183018,18.3018
119Te,Te,52,67,119,1006.9873415,0.0072828,7.2828
120Te,Te,52,68,120,1017.238284,0.001752,1.752
121Te,Te,52,69,121,1024.4905561,0.0258335,25.8335
122Te,Te,52,70,122,1034.332043,0.0013542,1.3542
123Te,Te,52,71,123,1041.261051,0.001353,1.353
124Te,Te,52,72,124,1050.685542,0.0013516,1.3516
125Te,Te,52,73,125,1057.2545125,0.00135,1.35
126Te,Te,52,74,126,1066.3682022,0.0013482,1.3482
127Te,Te,52,75,127,1072.655843,0.0013716,1.3716
128Te,Te,52,76,128,1081.4404608,0.000704,0.704
129Te,Te,52,77,129,1087.5228642,0.0007095,0.7094999999999999
130Te,Te,52,78,130,1095.942263,3.9e-05,0.039
131Te,Te,52,79,131,1101.8716409,6.55e-05,0.0655
132Te,Te,52,80,132,1109.9201388,0.0034848,3.4848
133Te,Te,52,81,133,1115.7403915,0.0020615,2.0615
134Te,Te,52,82,134,1123.4083228,0.002747,2.747
135Te,Te,52,83,135,1126.674684,0.001728,1.728
136Te,Te,52,84,136,1131.4424936,0.0022848,2.2848
137Te,Te,52,85,137,1134.3922909,0.0020961,2.0961
138Te,Te,52,86,138,1138.8558468,0.0037812,3.7812
139Te,Te,52,87,139,1141.4362524,0.0035445,3.5445
140Te,Te,52,88,140,1145.669938,0.014378,14.378
109I,I,53,56,109,895.9817876,0.0067253,6.7253
110I,I,53,57,110,906.848437,0.061941,61.941
111I,I,53,58,111,919.4057073,0.0047508,4.7508
112I,I,53,59,112,929.5865712,0.010248,10.248
113I,I,53,60,113,941.7140664,0.0080117,8.0117
114I,I,53,61,114,951.304806,0.0200298,20.0298
115I,I,53,62,115,963.0749865,0.0288765,28.8765
116I,I,53,63,116,972.2291528,0.0750404,75.04039999999999
117I,I,53,64,117,983.3183919,0.0255528,25.5528
118I,I,53,65,118,991.9221954,0.019765,19.765
119I,I,53,66,119,1002.8001956,0.0217056,21.7056
120I,I,53,67,120,1010.84094,0.015096,15.096
121I,I,53,68,121,1021.4107431,0.004719,4.719
122I,I,53,69,122,1029.3156958,0.005185,5.185
123I,I,53,70,123,1039.2503208,0.00369,3.69
124I,I,53,71,124,1046.7436068,0.002294,2.294
125I,I,53,72,125,1056.2863875,0.00135,1.35
126I,I,53,73,126,1063.4321754,0.00378,3.78
127I,I,53,74,127,1072.576214,0.0036195,3.6195
128I,I,53,75,128,1079.4023552,0.0036224,3.6224
129I,I,53,76,129,1088.2428132,0.0031476,3.1476
130I,I,53,77,130,1094.743143,0.003159,3.159
131I,I,53,78,131,1103.3209987,0.0006026,0.6026
132I,I,53,79,132,1109.6530896,0.0040656,4.0656
133I,I,53,80,133,1117.8782069,0.0059052,5.9052
134I,I,53,81,134,1124.1356748,0.0048508,4.8508
135I,I,53,82,135,1131.9427215,0.0020655,2.0655
136I,I,53,83,136,1135.7800912,0.0141848,14.1848
137I,I,53,84,137,1140.6624521,0.0083844,8.3844
138I,I,53,85,138,1144.35741,0.0059616,5.9616
139I,I,53,86,139,1148.91979,0.0040032,4.003200000000001
140I,I,53,87,140,1152.12636,0.01211,12.11
141I,I,53,88,141,1156.5181242,0.0158343,15.8343
142I,I,53,89,142,1159.4657414,0.0049416,4.9416
108Xe,Xe,54,54,108,872.0879688,0.3795012,379.5012
109Xe,Xe,54,55,109,883.6964739,0.3001097,300.1097
110Xe,Xe,54,56,110,897.520888,0.100991,100.991
112Xe,Xe,54,58,112,921.7672352,0.008288,8.288
113Xe,Xe,54,59,113,932.0158301,0.0068365,6.8365
114Xe,Xe,54,60,114,944.9694156,0.0111834,11.1834
115Xe,Xe,54,61,115,954.611596,0.0121095,12.1095
116Xe,Xe,54,62,116,967.073034,0.0130152,13.0152
117Xe,Xe,54,63,117,976.2828192,0.0103779,10.3779
118Xe,Xe,54,64,118,988.2478642,0.010384,10.384
119Xe,Xe,54,65,119,997.034598,0.0103768,10.3768
120Xe,Xe,54,66,120,1008.483864,0.01182,11.82
121Xe,Xe,54,67,121,1016.8637446,0.0102487,10.2487
122Xe,Xe,54,68,122,1027.8090568,0.0111142,11.1142
123Xe,Xe,54,69,123,1035.7736397,0.0095325,9.532499999999999
124Xe,Xe,54,70,124,1046.2641112,0.001364,1.364
125Xe,Xe,54,71,125,1053.867375,0.0014125,1.4125
126Xe,Xe,54,72,126,1063.885725,3.78e-05,0.0378
127Xe,Xe,54,73,127,1071.1315382,0.0040894,4.0894
128Xe,Xe,54,74,128,1080.7425024,3.84e-05,0.0384
129Xe,Xe,54,75,129,1087.6493616,3.87e-05,0.0387
130Xe,Xe,54,76,130,1096.905082,3.9e-05,0.039
131Xe,Xe,54,77,131,1103.5095077,3.93e-05,0.0393
132Xe,Xe,54,78,132,1112.4462228,3.96e-05,0.0396
133Xe,Xe,54,79,133,1118.8821441,0.002394,2.394
134Xe,Xe,54,80,134,1127.4357196,4.02e-05,0.0402
135Xe,Xe,54,81,135,1133.7945705,0.003672,3.672
136Xe,Xe,54,82,136,1141.8816904,4.08e-05,0.0408
137Xe,Xe,54,83,137,1145.9072505,0.0001096,0.1096
138Xe,Xe,54,84,138,1151.5673994,0.0028014,2.8014
139Xe,Xe,54,85,139,1155.3110656,0.0021406,2.1406
140Xe,Xe,54,86,140,1160.72425,0.002324,2.324
141Xe,Xe,54,87,141,1164.0064227,0.0028905,2.8905
142Xe,Xe,54,88,142,1169.110069,0.002698,2.698
143Xe,Xe,54,89,143,1172.1546265,0.0046618,4.661799999999999
144Xe,Xe,54,90,144,1176.895368,0.0053136,5.3136
145Xe,Xe,54,91,145,1179.5877165,0.0111795,11.1795
146Xe,Xe,54,92,146,1184.1206484,0.0242214,24.2214
113Cs,Cs,55,58,113,920.794399,0.0085767,8.576699999999999
114Cs,Cs,55,59,114,931.7871054,0.0850668,85.0668
117Cs,Cs,55,62,117,967.8082284,0.0624078,62.4078
118Cs,Cs,55,63,118,977.7958254,0.0127558,12.7558
119Cs,Cs,55,64,119,989.7628293,0.0139349,13.9349
120Cs,Cs,55,65,120,999.417732,0.009972,9.972
121Cs,Cs,55,66,121,1010.7027392,0.0142901,14.2901
122Cs,Cs,55,67,122,1019.816483,0.0336842,33.6842
123Cs,Cs,55,68,123,1030.7866908,0.0121155,12.1155
124Cs,Cs,55,69,124,1039.5554136,0.0091512,9.1512
125Cs,Cs,55,70,125,1049.9754125,0.0077375,7.7375
126Cs,Cs,55,71,126,1058.3076798,0.0103572,10.3572
127Cs,Cs,55,72,127,1068.2683359,0.0055753,5.5753
128Cs,Cs,55,73,128,1076.0313984,0.005376,5.375999999999999
129Cs,Cs,55,74,129,1085.6699985,0.0045537,4.5537
130Cs,Cs,55,75,130,1093.142024,0.008359,8.359
131Cs,Cs,55,76,131,1102.3691527,0.0001834,0.1834
132Cs,Cs,55,77,132,1109.5375896,0.0010428,1.0428
133Cs,Cs,55,78,133,1118.5271538,3.99e-05,0.0399
134Cs,Cs,55,79,134,1125.418698,4.02e-05,0.0402
135Cs,Cs,55,80,135,1134.1808055,0.0003645,0.3645
136Cs,Cs,55,81,136,1141.0090328,0.0018768,1.8768
137Cs,Cs,55,82,137,1149.2872597,0.0003014,0.3014
138Cs,Cs,55,83,138,1153.6998306,0.0091632,9.1632
139Cs,Cs,55,84,139,1159.5852183,0.0031275,3.1275
140Cs,Cs,55,85,140,1164.005178,0.008204,8.203999999999999
141Cs,Cs,55,86,141,1169.5041114,0.0091932,9.193200000000001
142Cs,Cs,55,87,142,1173.6126334,0.0070716,7.0716
143Cs,Cs,55,88,143,1178.8449101,0.007579,7.579
144Cs,Cs,55,89,144,1182.5120736,0.0201312,20.1312
145Cs,Cs,55,90,145,1187.366459,0.0090625,9.0625
146Cs,Cs,55,91,146,1190.693729,0.0028908,2.8908
147Cs,Cs,55,92,147,1195.374747,0.008379,8.379
148Cs,Cs,55,93,148,1198.4369412,0.0130388,13.0388
114Ba,Ba,56,58,114,922.224261,0.1026798,102.6798
117Ba,Ba,56,61,117,957.9906882,0.2503332,250.3332
119Ba,Ba,56,63,119,981.2655153,0.2002651,200.2651
120Ba,Ba,56,64,120,993.635388,0.300168,300.168
121Ba,Ba,56,65,121,1003.5629043,0.1418967,141.8967
122Ba,Ba,56,66,122,1015.4983174,0.0279502,27.9502
123Ba,Ba,56,67,123,1024.6156578,0.0121155,12.1155
124Ba,Ba,56,68,124,1036.1217916,0.0124992,12.4992
125Ba,Ba,56,69,125,1044.7723,0.0109875,10.9875
126Ba,Ba,56,70,126,1055.8445562,0.0124992,12.4992
127Ba,Ba,56,71,127,1064.063912,0.0113538,11.3538
128Ba,Ba,56,72,128,1074.6864384,0.0016128,1.6128
129Ba,Ba,56,73,129,1082.4494619,0.0105006,10.5006
130Ba,Ba,56,74,130,1092.71669,0.000286,0.286
131Ba,Ba,56,75,131,1100.2101941,0.0004192,0.4192
132Ba,Ba,56,76,132,1110.0374604,0.001056,1.056
133Ba,Ba,56,77,133,1117.2273847,0.0009975,0.9974999999999999
134Ba,Ba,56,78,134,1126.6951954,0.0002546,0.2546
135Ba,Ba,56,79,135,1133.6671575,0.000243,0.243
136Ba,Ba,56,80,136,1142.7748976,0.0002448,0.2448
137Ba,Ba,56,81,137,1149.6805456,0.0002466,0.2466
138Ba,Ba,56,82,138,1158.2922636,0.0002484,0.2484
139Ba,Ba,56,83,139,1163.0156966,0.0002502,0.2502
140Ba,Ba,56,84,140,1169.441,0.007896,7.896
141Ba,Ba,56,85,141,1173.9769134,0.0053157,5.3157
142Ba,Ba,56,86,142,1180.1579956,0.0059214,5.9214
143Ba,Ba,56,87,143,1184.3242554,0.0067496,6.7496
144Ba,Ba,56,88,144,1190.2255056,0.0071424,7.1424
145Ba,Ba,56,89,145,1194.0458695,0.0084825,8.4825
146Ba,Ba,56,90,146,1199.4672778,0.0017666,1.7666
147Ba,Ba,56,91,147,1202.9363535,0.0197421,19.7421
148Ba,Ba,56,92,148,1208.2885464,0.0014948,1.4948
149Ba,Ba,56,93,149,1211.6455755,0.0025181,2.5181
150Ba,Ba,56,94,150,1216.776075,0.005685,5.685
124La,La,57,67,124,1026.5082824,0.056668,56.66800000000001
125La,La,57,68,125,1038.080475,0.026,26.0
126La,La,57,69,126,1047.3657768,0.0905058,90.5058
127La,La,57,70,127,1058.3597324,0.0259969,25.9969
128La,La,57,71,128,1067.1603712,0.0544512,54.4512
129La,La,57,72,129,1077.9297921,0.0213495,21.3495
130La,La,57,73,130,1086.304947,0.025948,25.948
131La,La,57,74,131,1096.5181556,0.0279423,27.9423
132La,La,57,75,132,1104.5437788,0.0363528,36.35279999999999
133La,La,57,76,133,1114.3859195,0.0279433,27.9433
134La,La,57,77,134,1122.1814992,0.0199258,19.9258
135La,La,57,78,135,1131.677622,0.0094365,9.4365
136La,La,57,79,136,1139.1429632,0.053176,53.176
137La,La,57,80,137,1148.3176559,0.001644,1.644
138La,La,57,81,138,1155.761523,0.000414,0.414
139La,La,57,82,139,1164.5418193,0.0006116,0.6116
140La,La,57,83,140,1169.702814,0.000602,0.602
141La,La,57,84,141,1176.391905,0.0041313,4.1313
142La,La,57,85,142,1181.5573346,0.0062906,6.2906
143La,La,57,86,143,1187.7761753,0.0073359,7.335900000000001
144La,La,57,87,144,1192.5256752,0.0129312,12.9312
145La,La,57,88,145,1198.5826585,0.012267,12.267
146La,La,57,89,146,1203.0398248,0.001679,1.679
147La,La,57,90,147,1208.5683792,0.0107163,10.7163
148La,La,57,91,148,1212.670042,0.019462,19.462
149La,La,57,92,149,1218.2525335,0.200256,200.256
150La,La,57,93,150,1222.415085,0.00252,2.52
151La,La,57,94,151,1227.4855836,0.4354689,435.4689
126Ce,Ce,58,68,126,1042.4305206,0.0279468,27.9468
127Ce,Ce,58,69,127,1051.6606094,0.0288798,28.8798
128Ce,Ce,58,70,128,1063.2865152,0.0279424,27.9424
129Ce,Ce,58,71,129,1072.1114019,0.0279414,27.9414
130Ce,Ce,58,72,130,1083.318132,0.02795,27.95
131Ce,Ce,58,73,131,1091.6749939,0.0328024,32.80240000000001
132Ce,Ce,58,74,132,1102.5065436,0.0204072,20.4072
133Ce,Ce,58,75,133,1110.5274033,0.016359,16.359
134Ce,Ce,58,76,134,1121.0133944,0.0203814,20.3814
135Ce,Ce,58,77,135,1128.8681235,0.01026,10.26
136Ce,Ce,58,78,136,1138.8316864,0.0003264,0.3264
137Ce,Ce,58,79,137,1146.3132089,0.0003562,0.3562
138Ce,Ce,58,80,138,1156.0316304,0.0004968,0.4968
139Ce,Ce,58,81,139,1163.4948296,0.002085,2.085
140Ce,Ce,58,82,140,1172.68263,0.001316,1.316
141Ce,Ce,58,83,141,1178.1107796,0.0013113,1.3113
142Ce,Ce,58,84,142,1185.28394,0.0024424,2.4424
143Ce,Ce,58,85,143,1190.4287395,0.0024453,2.4453
144Ce,Ce,58,86,144,1197.3256128,0.0028368,2.8368
145Ce,Ce,58,87,145,1202.032049,0.033901,33.901
146Ce,Ce,58,88,146,1208.6621826,0.0146584,14.6584
147Ce,Ce,58,89,147,1213.1215278,0.0085848,8.5848
148Ce,Ce,58,90,148,1219.5773648,0.0111888,11.1888
149Ce,Ce,58,91,149,1223.9201806,0.0102512,10.2512
150Ce,Ce,58,92,150,1230.16845,0.0117,11.7
151Ce,Ce,58,93,151,1234.6179629,0.0176972,17.6972
128Pr,Pr,59,69,128,1053.3010048,0.0298112,29.8112
129Pr,Pr,59,70,129,1064.8151232,0.0298119,29.8119
130Pr,Pr,59,71,130,1074.288345,0.064272,64.27199999999999
131Pr,Pr,59,72,131,1085.4848509,0.0469897,46.9897
132Pr,Pr,59,73,132,1094.4829764,0.0288816,28.8816
133Pr,Pr,59,74,133,1105.2644204,0.012502,12.502
134Pr,Pr,59,75,134,1113.9261478,0.0203144,20.3144
135Pr,Pr,59,76,135,1124.405334,0.0118125,11.8125
136Pr,Pr,59,77,136,1132.8812104,0.0114512,11.4512
137Pr,Pr,59,78,137,1142.8139138,0.0081378,8.1378
138Pr,Pr,59,79,138,1150.812291,0.0100188,10.0188
139Pr,Pr,59,80,139,1160.5833912,0.0036557,3.6557
140Pr,Pr,59,81,140,1168.512282,0.006146,6.146000000000001
141Pr,Pr,59,82,141,1177.9119132,0.0014946,1.4946
142Pr,Pr,59,83,142,1183.7550544,0.0015052,1.5052
143Pr,Pr,59,84,143,1191.108204,0.0018161,1.8161
144Pr,Pr,59,85,144,1196.8619184,0.0027072,2.7072
145Pr,Pr,59,86,145,1203.8086325,0.0071485,7.1485
146Pr,Pr,59,87,146,1208.92745,0.0343538,34.3538
147Pr,Pr,59,88,147,1215.76938,0.0158613,15.8613
148Pr,Pr,59,89,148,1220.9320532,0.0150368,15.0368
149Pr,Pr,59,90,149,1227.507296,0.0098787,9.8787
150Pr,Pr,59,91,150,1232.83974,0.009015,9.015
151Pr,Pr,59,92,151,1239.3902424,0.0116572,11.6572
152Pr,Pr,59,93,152,1244.4399448,0.018544,18.544
153Pr,Pr,59,94,153,1250.3216763,0.0118881,11.8881
155Pr,Pr,59,96,155,1260.311169,0.017205,17.205
156Pr,Pr,59,97,156,1264.4164572,0.0010296,1.0296
157Pr,Pr,59,98,157,1269.473269,0.0031714,3.1714
130Nd,Nd,60,70,130,1068.926768,0.02795,27.95
131Nd,Nd,60,71,131,1078.1698895,0.0275231,27.5231
132Nd,Nd,60,72,132,1089.8989728,0.0242088,24.2088
133Nd,Nd,60,73,133,1098.876856,0.0465766,46.57660000000001
134Nd,Nd,60,74,134,1110.2622394,0.0118188,11.8188
135Nd,Nd,60,75,135,1118.900736,0.0191295,19.1295
136Nd,Nd,60,76,136,1129.9577272,0.0118184,11.8184
137Nd,Nd,60,77,137,1138.4137204,0.0117272,11.7272
138Nd,Nd,60,78,138,1148.9182548,0.0116058,11.6058
139Nd,Nd,60,79,139,1156.9893238,0.027522,27.522
140Nd,Nd,60,80,140,1167.30096,0.003262,3.262
141Nd,Nd,60,81,141,1175.3065434,0.0031866,3.1866
142Nd,Nd,60,82,142,1185.136402,0.0012496,1.2496
143Nd,Nd,60,83,143,1191.2599699,0.0012584,1.2584
144Nd,Nd,60,84,144,1199.0770128,0.0012528,1.2528
145Nd,Nd,60,85,145,1204.8323035,0.001276,1.276
146Nd,Nd,60,86,146,1212.3975342,0.0012702,1.2702
147Nd,Nd,60,87,147,1217.6897292,0.0012789,1.2789
148Nd,Nd,60,88,148,1225.0223144,0.0020572,2.0572
149Nd,Nd,60,89,149,1230.0611113,0.0020562,2.0562
150Nd,Nd,60,90,150,1237.436835,0.001125,1.125
151Nd,Nd,60,91,151,1242.7713891,0.0011325,1.1325
152Nd,Nd,60,92,152,1250.0491856,0.024472,24.472
153Nd,Nd,60,93,153,1255.3012296,0.002754,2.754
154Nd,Nd,60,94,154,1261.6217614,0.0010318,1.0318
155Nd,Nd,60,95,155,1266.397275,0.0091605,9.1605
156Nd,Nd,60,96,156,1272.386934,0.0013104,1.3104
157Nd,Nd,60,97,157,1276.7502347,0.0021352,2.1352
158Nd,Nd,60,98,158,1282.1625582,0.0013114,1.3114
159Nd,Nd,60,99,159,1286.1227616,0.0298125,29.8125
160Nd,Nd,60,100,160,1291.194592,0.046576,46.576
133Pm,Pm,61,72,133,1091.1697853,0.0503006,50.3006
134Pm,Pm,61,73,134,1100.5973554,0.0419152,41.9152
135Pm,Pm,61,74,135,1111.9670955,0.0829035,82.90350000000001
136Pm,Pm,61,75,136,1121.1460152,0.0690744,69.0744
137Pm,Pm,61,76,137,1132.1202692,0.0130424,13.0424
138Pm,Pm,61,77,138,1141.0331004,0.0116058,11.6058
139Pm,Pm,61,78,139,1151.6910747,0.0135942,13.5942
140Pm,Pm,61,79,140,1160.473412,0.02422,24.22
141Pm,Pm,61,80,141,1170.8556105,0.0139731,13.9731
142Pm,Pm,61,81,142,1179.5455354,0.0236004,23.6004
143Pm,Pm,61,82,143,1189.4359763,0.0029458,2.9458
144Pm,Pm,61,83,144,1195.9627536,0.0029088,2.9088
145Pm,Pm,61,84,145,1203.8854535,0.0027985,2.7985
146Pm,Pm,61,85,146,1210.14363,0.0042778,4.2778
147Pm,Pm,61,86,147,1217.8025664,0.0012936,1.2936
148Pm,Pm,61,87,148,1223.6977884,0.0056832,5.6832
149Pm,Pm,61,88,149,1230.9676273,0.0021903,2.1903
150Pm,Pm,61,89,150,1236.571875,0.020025,20.025
151Pm,Pm,61,90,151,1244.4321173,0.0046055,4.6055
152Pm,Pm,61,91,152,1250.3716536,0.0259008,25.9008
153Pm,Pm,61,92,153,1257.8365008,0.0090576,9.0576
154Pm,Pm,61,93,154,1263.526418,0.025025,25.025
155Pm,Pm,61,94,155,1270.2711435,0.004712,4.712
156Pm,Pm,61,95,156,1275.5693028,0.0011856,1.1856
157Pm,Pm,61,96,157,1281.7708906,0.0070022,7.0022
158Pm,Pm,61,97,158,1286.6512276,0.0008848,0.8848
159Pm,Pm,61,98,159,1292.1707559,0.0100329,10.0329
160Pm,Pm,61,99,160,1296.582368,0.002048,2.048
161Pm,Pm,61,100,161,1301.8456297,0.0090321,9.0321
135Sm,Sm,62,73,135,1103.979645,0.154629,154.629
136Sm,Sm,62,74,136,1116.004644,0.0124984,12.4984
137Sm,Sm,62,75,137,1125.2567199,0.0286193,28.6193
138Sm,Sm,62,76,138,1136.8341468,0.0118128,11.8128
