Z,N,A,I,I2A,A23,Am13,Ec,Npair,Zm,vp,Nm,vn,Casten,Esh,Edef,Eth
83,166,249,0.3333333333333333,27.666666666666668,39.57912888553151,0.15895232484149208,1051.285336647001,1,4.0,1.0,5.0,18.0,0.9473684210526315,-0.2112,0.5823,1776.0811
83,167,250,0.336,28.224,39.68502629920498,0.15874010519681997,1049.8817497487612,0,4.0,1.0,5.0,17.0,0.9444444444444444,-0.3766,0.5986,1777.3402
83,168,251,0.3386454183266932,28.784860557768923,39.7907826099774,0.15852901438238012,1048.4856287537223,1,4.0,1.0,5.0,16.0,0.9411764705882353,-0.7652,0.6417,1779.4139
83,169,252,0.3412698412698413,29.349206349206348,39.896398566905845,0.15831904193216612,1047.0969044413855,0,4.0,1.0,5.0,15.0,0.9375,-1.0253,0.6024,1780.5723
83,170,253,0.3438735177865613,29.91699604743083,40.001874912116236,0.15811017751824602,1045.715508504456,1,4.0,1.0,5.0,14.0,0.9333333333333333,-1.4515,0.6545,1782.5037
83,171,254,0.3464566929133858,30.488188976377952,40.10721238089454,0.15790241094840374,1044.3413735332408,0,4.0,1.0,5.0,13.0,0.9285714285714286,-1.7641,0.9019,1783.5438
83,172,255,0.34901960784313724,31.062745098039215,40.212411701776524,0.15769573216382957,1042.9744330003764,1,4.0,1.0,5.0,12.0,0.9230769230769231,-2.1677,1.1711,1785.2977
83,173,256,0.3515625,31.640625,40.317473596635935,0.15749013123685915,1041.6146212458736,0,4.0,1.0,5.0,11.0,0.9166666666666666,-2.3537,1.2406,1786.0656
83,174,257,0.3540856031128405,32.221789883268485,40.42239878077115,0.15728559836875938,1040.2618734624734,1,4.0,1.0,5.0,10.0,0.9090909090909091,-2.5863,1.2026,1787.4918
83,175,258,0.35658914728682173,32.8062015503876,40.527187962990446,0.1570821238875599,1038.9161256813059,0,4.0,1.0,5.0,9.0,0.9,-2.7622,1.1194,1788.0823
83,176,259,0.3590733590733591,33.3938223938224,40.63184184569578,0.1568796982459297,1037.5773147578454,1,4.0,1.0,5.0,8.0,0.8888888888888888,-3.0986,1.0559,1789.4429
83,177,260,0.36153846153846153,33.98461538461538,40.73636112496519,0.15667831201909693,1036.245378358154,0,4.0,1.0,5.0,7.0,0.875,-3.4374,0.972,1790.0038
83,178,261,0.36398467432950193,34.57854406130268,40.84074649063382,0.1564779559028116,1034.9202549454053,1,4.0,1.0,5.0,6.0,0.8571428571428571,-3.837,0.8475,1791.2069
83,179,262,0.366412213740458,35.17557251908397,40.94499862637359,0.15627862071134963,1033.6018837666845,0,4.0,1.0,5.0,5.0,0.8333333333333334,-4.0046,0.6523,1791.4657
83,180,263,0.3688212927756654,35.77566539923954,41.049118209771585,0.1560802973755574,1032.2902048400554,1,4.0,1.0,5.0,4.0,0.8,-4.2854,0.5294,1792.4276
83,181,264,0.3712121212121212,36.378787878787875,41.15310591240709,0.155882976940936,1030.9851589418897,0,4.0,1.0,5.0,3.0,0.75,-4.5299,0.457,1792.5656
83,182,265,0.37358490566037733,36.98490566037736,41.256962399927446,0.155686650565764,1029.6866875944513,1,4.0,1.0,5.0,2.0,0.6666666666666666,-4.8425,0.3608,1793.3446
83,183,266,0.37593984962406013,37.59398496240601,41.360688332122564,0.1554913095192578,1028.3947330537296,0,4.0,1.0,5.0,1.0,0.5,-5.042,0.1688,1793.3136
84,146,230,0.26956521739130435,16.713043478260868,37.539218229773184,0.16321399230336173,1106.005174096865,2,4.0,2.0,5.0,20.0,1.8181818181818181,-0.8633,5.0601,1736.1877
84,147,231,0.2727272727272727,17.181818181818183,37.64794886261285,0.16297813360438468,1104.4068984971877,1,4.0,2.0,5.0,21.0,1.826086956521739,-0.6647,5.0475,1739.072
84,148,232,0.27586206896551724,17.655172413793103,37.75652270956944,0.16274363236883382,1102.8178216282802,2,4.0,2.0,5.0,22.0,1.8333333333333333,-0.5563,5.0739,1743.3417
84,149,233,0.27896995708154504,18.13304721030043,37.86494067106982,0.1625104749831323,1101.2378512389434,1,4.0,2.0,5.0,23.0,1.84,-0.5131,5.2714,1746.1417
84,150,234,0.28205128205128205,18.615384615384617,37.97320363853009,0.1622786480279064,1099.6668963939787,2,4.0,2.0,5.0,24.0,1.8461538461538463,-0.4618,5.4705,1750.2556
84,151,235,0.2851063829787234,19.102127659574467,38.081312494483804,0.1620481382743992,1098.1048674498863,1,4.0,2.0,5.0,25.0,1.8518518518518519,-0.3045,5.4948,1752.7812
84,152,236,0.288135593220339,19.593220338983052,38.189268112707936,0.1618189326809659,1096.5516760311136,2,4.0,2.0,5.0,26.0,1.8571428571428572,-0.3097,5.486,1756.6136
84,153,237,0.2911392405063291,20.088607594936708,38.29707135834644,0.1615910183896475,1095.0072350068403,1,4.0,2.0,5.0,27.0,1.8620689655172413,-0.1224,5.4088,1758.9478
