Z,N,A,I,I2A,A23,Am13,Ec,Npair,Zm,vp,Nm,vn,Casten,Esh,Edef,Eth,Eexp,residual,uncertainty
10,19,29,0.3103448275862069,2.793103448275862,9.43913067739236,0.3254872647376676,27.21929446097715,1,1.0,2.0,1.0,1.0,0.6666666666666666,-0.5501,1.0928,209.20339824,207.8449517,1.358446540000017,0.1495037
11,18,29,0.2413793103448276,1.6896551724137931,9.43913067739236,0.3254872647376676,33.33234567043053,1,1.0,3.0,1.0,2.0,1.2,-0.0342,1.6667,223.74133939,222.7824138,0.9589255900000068,0.007337
12,17,29,0.1724137931034483,0.8620689655172413,9.43913067739236,0.3254872647376676,40.07412620550373,1,1.0,4.0,1.0,3.0,1.7142857142857142,0.4842,1.1088,234.38545709,235.2924193,-0.9069622100000174,0.0003451
13,16,29,0.1034482758620689,0.3103448275862069,9.43913067739236,0.3254872647376676,47.44589232029424,1,1.0,5.0,1.0,4.0,2.2222222222222223,0.5874,0.213,239.98860942,242.1054763,-2.1168668800000034,0.0003451
14,15,29,0.0344827586206896,0.0344827586206896,9.43913067739236,0.3254872647376676,55.44873656418758,1,1.0,6.0,1.0,5.0,2.727272727272727,0.1095,0.0062,241.32373723,245.0104469,-3.686709669999999,5.8e-06
15,14,29,-0.0344827586206896,0.0344827586206896,9.43913067739236,0.3254872647376676,64.0836194713353,1,1.0,5.0,1.0,6.0,2.727272727272727,-0.62,0.0122,235.88985141,239.2858672,-3.396015790000007,0.0003596
16,13,29,-0.1034482758620689,0.3103448275862069,9.43913067739236,0.3254872647376676,73.35139337924527,1,1.0,4.0,1.0,5.0,2.2222222222222223,-0.9999,0.2513,223.73800978,224.6450954,-0.9070856200000036,0.0130413
10,20,30,0.3333333333333333,3.333333333333333,9.654893846056297,0.3218297948685433,26.913433801789505,2,1.0,2.0,2.0,0.0,0.0,-3.5268,1.2482,213.2521575,211.035951,2.2162064999999984,0.253251
11,19,30,0.2666666666666666,2.1333333333333333,9.654893846056297,0.3218297948685433,32.95779322809429,0,1.0,3.0,1.0,1.0,0.75,0.7727,1.1568,226.56038729,225.059055,1.5013322899999937,0.004728
12,18,30,0.2,1.2,9.654893846056297,0.3218297948685433,39.623817007550166,2,1.0,4.0,1.0,2.0,1.3333333333333333,0.4007,1.4676,241.83219604,241.63275,0.1994460400000264,0.001296
13,17,30,0.1333333333333333,0.5333333333333333,9.654893846056297,0.3218297948685433,46.91274727784517,0,1.0,5.0,1.0,3.0,1.875,1.1876,0.464,246.27785993,247.833147,-1.5552870699999914,0.001935
14,16,30,0.0666666666666666,0.1333333333333333,9.654893846056297,0.3218297948685433,54.82566431148982,2,1.0,6.0,1.0,4.0,2.4,-0.1682,0.0251,252.58988257,255.619647,-3.02976443,2.4e-05
