Z,N,A,I,I2A,A23,Am13,Ec,Npair,Zm,vp,Nm,vn,Casten,Esh,Edef,Eth
95,127,222,0.14414414414414414,4.612612612612613,36.66361774464523,0.1651514312821858,1436.0839204669694,0,4.0,13.0,5.0,1.0,0.9285714285714286,-0.4772,0.4901,1674.66218069
95,128,223,0.14798206278026907,4.883408071748879,36.77363620550805,0.16490419823097785,1433.9340910244316,1,4.0,13.0,5.0,2.0,1.7333333333333334,-0.4628,1.243,1684.23738446
95,129,224,0.15178571428571427,5.160714285714286,36.88349033646757,0.1646584390020874,1431.7970772899707,0,4.0,13.0,5.0,3.0,2.4375,-0.3766,1.9412,1692.1546481
95,130,225,0.15555555555555556,5.444444444444445,36.993181114957046,0.16441413828869803,1429.67274616227,1,4.0,13.0,5.0,4.0,3.0588235294117645,-0.4658,2.7075,1701.42979435
95,131,226,0.1592920353982301,5.734513274336283,37.1027095082808,0.1641712810100921,1427.5609665060683,0,4.0,13.0,5.0,5.0,3.611111111111111,-0.5587,3.5077,1709.05801149
95,132,227,0.16299559471365638,6.030837004405286,37.21207647376352,0.16392985230732834,1425.4616091145729,1,4.0,13.0,5.0,6.0,4.105263157894737,-0.7306,4.3044,1718.0401422
95,133,228,0.16666666666666666,6.333333333333333,37.32128295889665,0.16368983753902044,1423.374546672755,0,4.0,13.0,5.0,7.0,4.55,-1.4131,5.0642,1725.38607811
95,135,230,0.17391304347826086,6.956521739130435,37.539218229773184,0.16321399230336173,1419.2368066225781,0,4.0,13.0,5.0,9.0,5.318181818181818,-2.259,6.6277,1741.15221395
95,136,231,0.1774891774891775,7.2770562770562774,37.64794886261285,0.16297813360438468,1417.1858835244643,1,4.0,13.0,5.0,10.0,5.6521739130434785,-2.705,7.3912,1749.56854477
95,137,232,0.1810344827586207,7.603448275862069,37.75652270956944,0.16274363236883382,1415.1467643288893,0,4.0,13.0,5.0,11.0,5.958333333333333,-2.8522,8.304,1756.3693614
95,138,233,0.18454935622317598,7.935622317596566,37.86494067106982,0.1625104749831323,1413.1193306581997,1,4.0,13.0,5.0,12.0,6.24,-2.9571,9.1974,1764.51248285
95,139,234,0.18803418803418803,8.273504273504274,37.97320363853009,0.1622786480279064,1411.1034658234476,0,4.0,13.0,5.0,13.0,6.5,-3.1462,9.9326,1771.05005615
95,141,236,0.19491525423728814,8.966101694915254,38.189268112707936,0.1618189326809659,1407.105984163085,0,4.0,13.0,5.0,15.0,6.964285714285714,-3.6105,11.3464,1785.2064433
95,142,237,0.19831223628691982,9.320675105485233,38.29707135834644,0.1615910183896475,1405.1241421259567,1,4.0,13.0,5.0,16.0,7.172413793103448,-3.9245,11.9796,1792.82152742
95,151,246,0.22764227642276422,12.747967479674797,39.260582430605055,0.15959586353904498,1387.775156546193,0,4.0,13.0,5.0,25.0,8.552631578947368,-3.653,12.8855,1848.52337185
95,152,247,0.23076923076923078,13.153846153846153,39.36690771803848,0.15938019319043925,1385.8997824283326,1,4.0,13.0,5.0,26.0,8.666666666666666,-3.5663,12.6412,1854.91713382
95,153,248,0.23387096774193547,13.564516129032258,39.47308961287589,0.15916568392288669,1384.0345045586118,0,4.0,13.0,5.0,27.0,8.775,-3.166,12.4487,1859.76892877
95,154,249,0.23694779116465864,13.97991967871486,39.57912888553151,0.15895232484149208,1382.1792281998326,1,4.0,13.0,5.0,28.0,8.878048780487806,-2.8613,12.1777,1865.9340312
95,155,250,0.24,14.4,39.68502629920498,0.15874010519681997,1380.3338598796508,0,4.0,13.0,5.0,29.0,8.976190476190476,-2.538,11.7695,1870.5654573
95,156,251,0.24302788844621515,14.824701195219124,39.7907826099774,0.15852901438238012,1378.4983073687108,1,4.0,13.0,5.0,28.0,8.878048780487806,-2.2924,11.3041,1876.50674703
95,157,252,0.24603174603174602,15.253968253968255,39.896398566905845,0.15831904193216612,1376.6724796592425,0,4.0,13.0,5.0,27.0,8.775,-1.9791,10.7863,1880.92247317
96,132,228,0.15789473684210525,5.684210526315789,37.32128295889665,0.16368983753902044,1453.881121443245,2,4.0,14.0,5.0,6.0,4.2,-0.9838,4.7439,1720.50567381
96,133,229,0.1615720524017467,5.978165938864628,37.43032990148211,0.1634512222772145,1451.76175820333,1,4.0,14.0,5.0,7.0,4.666666666666667,-1.2613,5.5474,1727.88686834
96,134,230,0.16521739130434782,6.278260869565218,37.539218229773184,0.16321399230336173,1449.6546989893282,2,4.0,14.0,5.0,8.0,5.090909090909091,-1.8234,6.373,1736.9649342
96,135,231,0.16883116883116883,6.584415584415584,37.64794886261285,0.16297813360438468,1447.5598193381147,1,4.0,14.0,5.0,9.0,5.478260869565218,-2.1202,7.1069,1744.06936895
