Z,N,A,dataset_split,participates_in_loss,train_uncertainty,pred_residual,pred_binding_energy,actual_binding_energy,theory_binding_energy,actual_residual,pred_minus_actual_residual
64,92,156,train,True,0.0009828,-0.26392218299210074,1281.720465151742,1281.5906982421875,1281.45654296875,-0.1341467946767807,-0.12977538831532004
65,91,156,train,True,0.0037752,-0.004317871045786887,1278.3475795897957,1278.364013671875,1278.34326171875,-0.020773999392986298,0.01645612834719941
66,90,156,train,True,0.0009828,0.03186952622840181,1277.9671539112717,1278.0201416015625,1277.9990234375,-0.021109599620103836,0.05297912584850564
67,89,156,train,True,0.0384228,0.6998796463012695,1272.1288557052612,1272.246826171875,1272.8287353515625,0.581932008266449,0.11794763803482056
68,88,156,train,True,0.0246324,0.40487642005085944,1270.0615542440116,1270.1376953125,1270.4664306640625,0.3286896049976349,0.07618681505322455
69,87,156,train,True,0.014274,0.9555146381258964,1261.8275664165617,1261.9781494140625,1262.7830810546875,0.8050007820129395,0.15051385611295698
70,86,156,train,True,0.0093132,0.5026383855938912,1257.5381330987811,1257.6268310546875,1258.040771484375,0.4139308035373688,0.0887075820565224
71,85,156,train,True,0.0541164,0.6702065494656563,1247.1623129817845,1247.278564453125,1247.83251953125,0.5539687871932983,0.11623776227235794
72,84,156,train,False,0.1497444,0.3328937423974276,1240.0882488357277,1240.6160888671875,1240.421142578125,-0.19494560360908508,0.5278393460065127
59,98,157,train,True,0.0031714,-0.9787725532054901,1269.542127045393,1269.4732666015625,1268.5633544921875,-0.9098690152168274,-0.06890353798866267
60,97,157,train,True,0.0021352,-1.1531559735536576,1276.7722965985536,1276.750244140625,1275.619140625,-1.1311347484588623,-0.022021225094795316
61,96,157,train,True,0.0070022,-1.1860922557115554,1281.7888754588366,1281.7708740234375,1280.602783203125,-1.168090581893921,-0.01800167381763451
62,95,157,train,True,0.0044274,-0.950778120458126,1285.5752898392082,1285.3690185546875,1284.62451171875,-0.7445793747901917,-0.2061987456679344
63,94,157,train,True,0.004239,-0.6587779676914215,1287.3289439833163,1287.3681640625,1286.670166015625,-0.6980075240135193,0.03922955632209779
64,93,157,train,True,0.0009734,-0.35068963080644605,1288.077618341744,1287.95068359375,1287.7269287109375,-0.2237304002046585,-0.12695923060178754
65,92,157,train,True,0.0010205,-0.10910158453509211,1287.020722678285,1287.1082763671875,1286.91162109375,-0.19663119316101074,0.08752960862591863
66,91,157,train,True,0.0051496,0.06131591560784727,1285.0309692406422,1284.9866943359375,1285.09228515625,0.10559409856796265,-0.044278182960115375
67,90,157,train,True,0.0234715,0.2848033664375544,1281.5401478054375,1281.612548828125,1281.824951171875,0.21244390308856964,0.07235946334898474
68,89,157,train,True,0.0265016,0.604804285466671,1277.441948644221,1277.4110107421875,1278.0467529296875,0.635715126991272,-0.030910841524600996
69,88,157,train,True,0.027946,0.7646087688207627,1271.9637847858667,1271.92431640625,1272.7283935546875,0.8041254878044128,-0.03951671898365017
70,87,157,train,True,0.0109115,0.7915025326609612,1265.6886000064014,1265.8525390625,1266.4801025390625,0.6275492906570435,0.1639532420039177
71,86,157,train,True,0.0120733,0.6529511511325836,1258.140872091055,1258.090087890625,1258.7938232421875,0.7036904096603394,-0.05073925852775574
73,84,157,train,False,0.1500449,0.1812552178837359,1239.3109322821163,1239.6815185546875,1239.4921875,-0.1893455982208252,0.3706008161045611
60,98,158,train,True,0.0013114,-0.8143882974982262,1282.2427330240607,1282.16259765625,1281.4283447265625,-0.7341582179069519,-0.08023007959127426
61,97,158,train,True,0.0008848,-1.2856318432092666,1286.6597773510218,1286.6512451171875,1285.3741455078125,-1.2771276235580444,-0.008504219651222167
62,96,158,train,True,0.0047874,-0.6178230831027031,1292.1285652706026,1292.0145263671875,1291.5107421875,-0.5037850141525269,-0.11403806895017621
63,95,158,train,True,0.0020382,-0.9107194995880127,1293.358229265213,1293.2508544921875,1292.447509765625,-0.8033559918403625,-0.10736350774765013
64,94,158,train,True,0.0009796,-0.2556334535777569,1295.9638854067027,1295.8880615234375,1295.708251953125,-0.17981819808483124,-0.07581525549292567
65,93,158,train,True,0.001264,-0.1665273431688547,1293.8734365228563,1293.8865966796875,1293.7069091796875,-0.1796848028898239,0.013157459720969211
66,92,158,train,True,0.0023384,0.061792191676795484,1294.1138669880106,1294.04052734375,1294.1756591796875,0.1350916028022766,-0.07329941112548113
67,91,158,train,True,0.0271128,0.31884573519229886,1289.0094013351202,1289.0384521484375,1289.3282470703125,0.2898977994918823,0.02894793570041654
