Z,N,A,pred_residual,pred_binding_energy,actual_binding_energy,theory_binding_energy,actual_residual,pred_minus_actual_residual
17,21,38,-0.15711493658833206,323.1834210889321,323.20831298828125,323.02630615234375,-0.18200460076332092,0.024889664174988863
18,20,38,0.2844872457534075,327.3565039651841,327.3426513671875,327.6409912109375,0.29833340644836426,-0.013846160694956755
19,19,38,-0.02809552092803642,320.83278302092805,320.646240234375,320.8046875,0.15844659507274628,-0.1865421160007827
20,18,38,0.15870097450912,313.09569355674086,313.12164306640625,313.25439453125,0.13275079429149628,0.025950180217623714
14,25,39,1.4813355004787445,301.4791747534275,301.5081787109375,302.96051025390625,1.4523073434829712,0.029028156995773324
15,24,39,-0.07522381857037544,315.792417422086,315.8208312988281,315.7171936035156,-0.10363390296697617,0.028410084396600727
16,23,39,0.23039153035730123,325.5915078837052,325.426513671875,325.8218994140625,0.3953778147697449,-0.16498628441244365
17,22,39,0.4982741692662239,331.2523361822963,331.28173828125,331.7506103515625,0.4688751995563507,0.029398969709873213
18,21,39,0.7245422501862049,333.95575560137627,333.94134521484375,334.6802978515625,0.738946795463562,-0.014404545277357128
19,20,39,0.1630683762006811,333.56791917262746,333.7239990234375,333.7309875488281,0.006993799936026335,0.15607457626465476
20,19,39,0.20209878766909242,326.19960409319026,326.41717529296875,326.4017028808594,-0.015472900122404099,0.21757168779149652
21,18,39,0.1647116718813777,312.49669579882175,312.52484130859375,312.6614074707031,0.13655750453472137,0.028154167346656322
14,26,40,2.160074702501297,305.91673804163935,306.2330017089844,308.0768127441406,1.8438119888305664,0.31626271367073056
15,25,40,-0.029506714593153446,319.4380150153744,319.2567138671875,319.40850830078125,0.1517920047044754,-0.18129871929762886
16,24,40,-0.1253051267657429,333.1665038572345,333.17303466796875,333.04119873046875,-0.13181999325752258,0.006514866491779681
17,23,40,0.1897714992519468,337.1281301120762,337.1106262207031,337.3179016113281,0.20725999772548676,-0.01748849847353995
18,22,40,0.8739173141121864,343.6796715530753,343.81036376953125,344.5535888671875,0.743224024772644,0.13069328933954238
19,21,40,0.312858340293169,341.4864275483787,341.52362060546875,341.7992858886719,0.27567198872566223,0.03718635156750677
20,20,40,0.7305956864356995,341.8164013838768,342.05218505859375,342.5469970703125,0.49481600522994995,0.23577968120574955
21,19,40,-0.02235367674176814,326.8760524072105,326.94677734375,326.85369873046875,-0.09308800101280212,0.07073432427103399
22,18,40,0.056035494180396196,314.54836514058525,314.634521484375,314.6044006347656,-0.030128000304102898,0.08616349448449909
15,26,41,0.5267666020989418,324.3720371088386,324.1686096191406,324.8988037109375,0.7301967144012451,-0.20343011230230335
16,25,41,-0.33967720620334146,337.4031842862815,337.4150695800781,337.0635070800781,-0.351567804813385,0.011890598610043546
17,24,41,0.10287740584462882,345.07632181290535,344.93133544921875,345.17919921875,0.24786870181560516,-0.14499129597097635
18,23,41,0.8650786083936691,349.8338349658251,349.9093017578125,350.69891357421875,0.7895947098731995,0.07548389852046966
19,22,41,1.0940067026019096,351.44758875638246,351.6189880371094,352.5415954589844,0.9226028919219971,0.1714038106799125
20,21,41,1.260077663064003,350.1552360576391,350.4150085449219,351.4153137207031,1.0002925395965576,0.2597851234674453
21,20,41,0.9426411712169647,342.86436566472054,343.1371154785156,343.8070068359375,0.6698861122131348,0.2727550590038299
22,19,41,0.39340627238154413,329.2972980733216,329.4099426269531,329.6907043457031,0.28075510263442993,0.1126511697471142
15,27,42,2.4824919688701628,326.1236176502705,326.1683044433594,328.6061096191406,2.4377875328063965,0.044704436063766284
16,26,42,-0.398187987357378,344.2589973135293,344.1155700683594,343.8608093261719,-0.2547549903392792,-0.1434329970180988
17,25,42,-0.2615353830903768,350.6310422190279,350.5272216796875,350.3695068359375,-0.15772880613803864,-0.10380657695233819
18,24,42,0.49047263905405997,359.2407285328209,359.3357849121094,359.731201171875,0.3954077959060669,0.09506484314799307
19,23,42,0.691435486972332,359.0394605091214,359.1528015136719,359.73089599609375,0.5781018137931824,0.11333367317914966
