Z,N,A,I,I2A,A23,Am13,Ec,Npair,Zm,vp,Nm,vn,Casten,Esh,Edef,Eth
61,69,130,0.0615384615384615,0.4923076923076923,25.66229943873142,0.1974023033748571,698.5088382438628,0,3.0,11.0,3.0,13.0,5.958333333333333,-0.3196,8.0001,1055.8677
61,70,131,0.0687022900763358,0.6183206106870229,25.79373282864238,0.1968987238827663,696.7269202015195,1,3.0,11.0,3.0,12.0,5.739130434782608,-0.4216,7.9419,1068.493
61,71,132,0.0757575757575757,0.7575757575757576,25.92483220379743,0.1964002439681623,694.9630470344639,0,3.0,11.0,3.0,11.0,5.5,-0.0416,7.7144,1077.8723
61,101,162,0.2469135802469135,9.876543209876544,29.717345240051635,0.1834404027163681,649.1045970475591,0,3.0,11.0,4.0,19.0,6.966666666666667,-3.6228,11.8029,1305.2083
61,102,163,0.2515337423312883,10.312883435582824,29.839513369337435,0.1830644991983892,647.7744609491134,1,3.0,11.0,4.0,20.0,7.096774193548387,-3.8443,12.4141,1310.2966
61,103,164,0.2560975609756097,10.75609756097561,29.96143191950181,0.1826916580457427,646.4551610426172,0,3.0,11.0,4.0,21.0,7.21875,-3.6643,12.7144,1314.0289
61,104,165,0.2606060606060606,11.206060606060609,30.08310291760778,0.1823218358642896,645.146543777736,1,3.0,11.0,4.0,22.0,7.333333333333333,-3.6205,12.8507,1318.7412
62,68,130,0.0461538461538461,0.2769230769230769,25.66229943873142,0.1974023033748571,721.9997432903499,2,3.0,12.0,3.0,14.0,6.461538461538462,-0.5646,8.0151,1047.2354
62,69,131,0.0534351145038167,0.3740458015267175,25.79373282864238,0.1968987238827663,720.1578992095064,1,3.0,12.0,3.0,13.0,6.24,-0.5512,8.0433,1058.2277
62,70,132,0.0606060606060606,0.4848484848484848,25.92483220379743,0.1964002439681623,718.3347068544709,2,3.0,12.0,3.0,12.0,6.0,-0.6384,7.9641,1071.269
62,71,133,0.0676691729323308,0.6090225563909775,26.055600933891245,0.1959067739390319,716.5298381763325,1,3.0,12.0,3.0,11.0,5.739130434782608,-0.1995,7.6826,1080.5423
62,72,134,0.0746268656716417,0.746268656716418,26.18604232957348,0.1954182263401006,714.7429733070625,2,3.0,12.0,3.0,10.0,5.454545454545454,0.0885,7.2806,1092.9156
62,103,165,0.2484848484848484,10.187878787878788,30.08310291760778,0.1823218358642896,666.8428708264443,1,3.0,12.0,4.0,21.0,7.636363636363637,-3.651,12.5999,1326.8189
62,104,166,0.253012048192771,10.626506024096386,30.20452836208127,0.1819549901330197,665.5011310428864,2,3.0,12.0,4.0,22.0,7.764705882352941,-3.6833,12.7723,1332.1332
62,105,167,0.2574850299401197,11.071856287425147,30.32571022328558,0.1815910791813508,664.1701252278906,1,3.0,12.0,4.0,21.0,7.636363636363637,-3.1137,12.5558,1335.5085
62,106,168,0.2619047619047619,11.523809523809524,30.446650444080973,0.1812300621671487,662.8497040011817,2,3.0,12.0,4.0,20.0,7.5,-2.8374,12.2198,1340.4578
63,70,133,0.0526315789473684,0.3684210526315789,26.055600933891245,0.1959067739390319,740.2303641512719,1,3.0,13.0,3.0,12.0,6.24,-0.7429,7.9471,1070.999
63,71,134,0.0597014925373134,0.4776119402985074,26.18604232957348,0.1954182263401006,738.3843954806088,0,3.0,13.0,3.0,11.0,5.958333333333333,-0.2496,7.6183,1080.4203
63,72,135,0.0666666666666666,0.6,26.31615964391579,0.1949345158808577,736.5567038587735,1,3.0,13.0,3.0,10.0,5.652173913043479,0.0797,7.1759,1093.0646
63,73,136,0.0735294117647058,0.7352941176470589,26.445956073831777,0.1944555593664101,734.7469749352983,0,3.0,13.0,3.0,9.0,5.318181818181818,0.9393,6.4689,1103.4059
63,103,166,0.2409638554216867,9.63855421686747,30.20452836208127,0.1819549901330197,687.5137898356832,0,3.0,13.0,4.0,21.0,8.029411764705882,-3.4477,12.2988,1337.1779
63,104,167,0.2455089820359281,10.065868263473051,30.32571022328558,0.1815910791813508,686.1387585855828,1,3.0,13.0,4.0,22.0,8.17142857142857,-3.4887,12.5054,1342.5072
63,105,168,0.25,10.5,30.446650444080973,0.1812300621671487,684.7746620282538,0,3.0,13.0,4.0,21.0,8.029411764705882,-2.9588,12.3236,1346.4585
63,106,169,0.2544378698224852,10.940828402366863,30.56735094036984,0.1808718990554429,683.4213488922516,1,3.0,13.0,4.0,20.0,7.878787878787879,-2.5896,12.0541,1351.4028
64,71,135,0.0518518518518518,0.362962962962963,26.31615964391579,0.1949345158808577,760.5253176382137,1,3.0,14.0,3.0,11.0,6.16,-0.4685,7.7217,1082.1153
64,72,136,0.0588235294117647,0.4705882352941176,26.445956073831777,0.1944555593664101,758.6566975344872,2,3.0,14.0,3.0,10.0,5.833333333333333,-0.1183,7.2505,1095.1736
64,73,137,0.0656934306569343,0.5912408759124088,26.575434761451795,0.193981275631035,756.8063079979455,1,3.0,14.0,3.0,9.0,5.478260869565218,0.6477,6.494,1105.7489
64,74,138,0.072463768115942,0.7246376811594203,26.70459879545431,0.1935115854743066,754.973840032879,2,3.0,14.0,3.0,8.0,5.090909090909091,0.9642,5.7257,1118.4212
64,75,139,0.079136690647482,0.8705035971223022,26.83345121235545,0.1930464115996795,753.1589920714538,1,3.0,14.0,3.0,7.0,4.666666666666667,1.2985,4.9222,1128.6535
64,105,169,0.2426035502958579,9.946745562130175,30.56735094036984,0.1808718990554429,705.6608618508671,1,3.0,14.0,4.0,21.0,8.4,-3.091,12.2263,1358.5165
64,106,170,0.2470588235294117,10.376470588235296,30.687813601627905,0.1805165505978112,704.2744911643247,2,3.0,14.0,4.0,20.0,8.235294117647058,-2.8791,12.0317,1364.0388
65,72,137,0.0510948905109489,0.3576642335766423,26.575434761451795,0.193981275631035,781.041581267408,1,3.0,15.0,3.0,10.0,6.0,-0.2563,7.7955,1094.3506
65,73,138,0.0579710144927536,0.463768115942029,26.70459879545431,0.1935115854743066,779.1504320236292,0,3.0,15.0,3.0,9.0,5.625,0.4896,7.0505,1105.3259
65,74,139,0.0647482014388489,0.5827338129496403,26.83345121235545,0.1930464115996795,777.2774670303786,1,3.0,15.0,3.0,8.0,5.217391304347826,0.755,6.3175,1118.2652
