Z,N,A,dataset_split,participates_in_loss,train_uncertainty,pred_residual,pred_binding_energy,actual_binding_energy,theory_binding_energy,actual_residual,pred_minus_actual_residual
35,37,72,train,True,0.0010224,3.3326456320285796,612.7172200906276,612.8145141601562,616.0498657226562,3.235340118408203,0.09730551362037643
36,36,72,train,True,0.0080136,2.940143631696701,606.8028373253345,606.9110107421875,609.7429809570312,2.832010269165039,0.10813336253166206
28,45,73,train,True,0.0024236,-0.21365711852908134,617.5000951068104,617.40869140625,617.2864379882812,-0.12225200980901718,-0.09140510872006416
29,44,73,train,True,0.0019418,0.2402820160239935,625.5063610503822,625.505615234375,625.7466430664062,0.24102690815925598,-0.0007448921352624926
30,43,73,train,True,0.0018615,0.9307280105352401,631.3457612472772,631.3292236328125,632.2764892578125,0.9472474455833435,-0.01651943504810338
31,42,73,train,True,0.001679,1.6671598410606385,634.4303133034706,634.65283203125,636.0974731445312,1.444645881652832,0.2225139594078065
32,41,73,train,True,5.84e-05,2.433920432329178,635.4449858176708,635.4686279296875,637.87890625,2.4102282524108887,0.023692179918289202
33,40,73,train,True,0.0038544,3.0027683556079863,634.0563747107983,634.341552734375,637.0591430664062,2.7175941467285156,0.28517420887947065
34,39,73,train,True,0.0074241,3.2938684177398683,630.7996374416351,630.8338012695312,634.093505859375,3.259671449661255,0.03419696807861339
35,38,73,train,True,0.0067379,3.3674234426021576,625.2645956003666,625.4698486328125,628.6320190429688,3.162153959274292,0.20526948332786565
36,37,73,train,True,0.0065773,3.2262234580516815,617.6938815224171,617.593505859375,620.9201049804688,3.326629638671875,-0.10040618062019346
37,36,73,train,True,0.0407924,2.964803496599197,606.8306066596508,606.27099609375,609.79541015625,3.5244312286376953,-0.5596277320384981
29,45,74,train,True,0.0061494,-0.2064075130224228,630.5146960872412,630.595703125,630.3082885742188,-0.28738850355148315,0.08098099052906035
30,44,74,train,True,0.002516,0.47159352749586103,639.5258429959416,639.5638427734375,639.9974365234375,0.43361803889274597,0.03797548860311506
31,43,74,train,True,0.002997,1.4938890880346298,640.9076612049341,641.0744018554688,642.4015502929688,1.3271368741989136,0.16675221383571626
32,42,74,train,True,2.22e-05,2.0073099249601363,645.4244527703523,645.6648559570312,647.4317626953125,1.766900897026062,0.24040902793407426
33,41,74,train,True,0.0016946,3.0891733360290528,642.1109609413147,642.3201293945312,645.2001342773438,2.8800127506256104,0.2091605854034424
34,40,74,train,True,2.22e-05,3.085870885848999,642.4896906375885,642.8909301757812,645.5755615234375,2.684607982635498,0.4012629032135009
