Z,N,A,I,I2A,A23,Am13,Ec,Npair,Zm,vp,Nm,vn,Casten,Esh,Edef,Eth,Eexp,residual,uncertainty
11,14,25,0.12,0.36,8.549879733383484,0.3419951893353394,35.02288139518302,1,1.0,3.0,1.0,6.0,2.0,0.6041,0.8754,202.9285,202.5349475,0.39355250000002684,0.0012
12,13,25,0.04,0.04,8.549879733383484,0.3419951893353394,42.10658868679687,1,1.0,4.0,1.0,5.0,2.2222222222222223,1.1825,1.2035,205.2951,205.58757,-0.29247000000000867,4.75e-05
13,12,25,-0.04,0.04,8.549879733383484,0.3419951893353394,49.85223289870037,1,1.0,5.0,1.0,4.0,2.2222222222222223,0.4521,1.3017,200.2325,200.528415,-0.2959150000000079,6.5e-05
14,11,25,-0.12,0.36,8.549879733383484,0.3419951893353394,58.26096199173391,1,1.0,6.0,1.0,3.0,2.0,-0.8425,1.0898,187.13,187.0027725,0.1272275000000036,0.01
8,18,26,0.38461538461538464,3.8461538461538463,8.776382955329126,0.33755319058958183,17.498757400163925,2,1.0,0.0,1.0,2.0,0.0,-7.3166,0.2704,168.5065,168.934454,-0.4279539999999997,0.1649492
9,17,26,0.3076923076923077,2.4615384615384617,8.776382955329126,0.33755319058958183,22.539178148587904,0,1.0,1.0,1.0,3.0,0.75,-3.189,0.4898,184.7879,184.1384922,0.6494078000000059,0.1070264
10,16,26,0.23076923076923078,1.3846153846153846,8.776382955329126,0.33755319058958183,28.228323152075927,2,1.0,2.0,1.0,4.0,1.3333333333333333,-1.8834,0.6923,202.6789,201.549686,1.1292139999999904,0.0184288
11,15,26,0.15384615384615385,0.6153846153846154,8.776382955329126,0.33755319058958183,34.56798729116779,0,1.0,3.0,1.0,5.0,1.875,0.5027,0.753,208.3364,208.1092338,0.2271661999999992,0.0035022
12,14,26,0.07692307692307693,0.15384615384615385,8.776382955329126,0.33755319058958183,41.559687970157015,2,1.0,4.0,1.0,6.0,2.4,0.6337,0.7069,216.8452,216.6806486,0.16455139999999346,2.86e-05
13,13,26,0.0,0.0,8.776382955329126,0.33755319058958183,49.204728012916426,0,1.0,5.0,1.0,5.0,2.5,1.2414,0.5763,212.5071,211.8938978,0.6132022000000177,6.76e-05
